intent,examples,
range_prediction,Do birds always follow the same migration routes?
range_prediction,Which bird species migrate from Sri Lanka to India?
range_prediction,Do any migratory birds stay in Sri Lanka permanently?
range_prediction,Which forests in Sri Lanka are home to migratory birds?
range_prediction,What are the main threats to migratory birds in Sri Lanka?
range_prediction,Where can I see kingfishers in Sri Lanka?
range_prediction,Which birds use Sri Lanka as a resting spot during migration?
range_prediction,Do swans migrate through Sri Lanka?
range_prediction,What are the major bird migration hotspots in Sri Lanka?
range_prediction,Where can I see falcons in Sri Lanka?
range_prediction,Which birds migrate from Europe to Sri Lanka?
range_prediction,Are there any specific months when birds migrate to Sri Lanka?
range_prediction,How does climate change impact bird migration in Sri Lanka?
range_prediction,Which birds migrate over Sri Lanka without stopping?
range_prediction,Do any nocturnal birds migrate to Sri Lanka?
range_prediction,Where can I see migratory warblers in Sri Lanka?
range_prediction,Which birds migrate across Sri Lankaâ€™s mountain ranges?
range_prediction,Do migratory birds visit Sri Lanka's dry zones?
range_prediction,Where can I spot swifts in Sri Lanka?
range_prediction,What are the flight paths of migratory birds coming to Sri Lanka?
range_prediction,Do Sri Lankan birds migrate in the opposite direction?
range_prediction,Where can I see plovers in Sri Lanka?
range_prediction,Which species of terns migrate through Sri Lanka?
range_prediction,Where do migratory sandpipers in Sri Lanka come from?
range_prediction,What bird species migrate from Sri Lanka to the Maldives?
range_prediction,Do migratory birds follow the monsoon winds in Sri Lanka?
range_prediction,Where can I spot barn swallows in Sri Lanka?
range_prediction,Which birds migrate across Sri Lanka's coastline?
range_prediction,Which migratory birds can be seen in Sri Lankaâ€™s hill country?
range_prediction,Do any birds migrate to Sri Lankaâ€™s dry zones?
range_prediction,Which birds migrate over Sri Lankaâ€™s rivers?
range_prediction,Where can I see sandpipers in Sri Lanka?
range_prediction,Which birds migrate from the Arctic to Sri Lanka?
range_prediction,Where do Sri Lankan migratory birds breed?
range_prediction,What are the best locations in Sri Lanka for birdwatching?
range_prediction,Do any birds migrate to Sri Lanka for the monsoon season?
range_prediction,Which migratory birds prefer Sri Lankaâ€™s forests?
range_prediction,Where do Sri Lankaâ€™s migratory kingfishers come from?
range_prediction,How do migratory birds use Sri Lanka as a stopover?
range_prediction,Which Sri Lankan coastal areas attract the most migratory birds?
range_prediction,Can I see night herons in Sri Lanka during migration?
range_prediction,What factors affect the migration of birds to Sri Lanka?
range_prediction,Where do migratory storks go after leaving Sri Lanka?
range_prediction,Do migratory birds nest in Sri Lanka?
range_prediction,Which birds migrate through Sri Lankaâ€™s central highlands?
range_prediction,How do birds navigate to Sri Lanka during migration?
range_prediction,What are the main routes birds take to reach Sri Lanka?
range_prediction,Where do Sri Lankaâ€™s migratory terns come from?
range_prediction,Can I find curlews migrating through Sri Lanka?
range_prediction,Which birds migrate from the Himalayas to Sri Lanka?
range_prediction,How do changes in Sri Lankaâ€™s climate affect bird migration?
range_prediction,Which birds migrate across Sri Lankaâ€™s grasslands?
range_prediction,Where can I see the largest gatherings of migratory birds in Sri Lanka?
range_prediction,What times of year are best for seeing migratory birds in Sri Lanka?
range_prediction,Which Sri Lankan national parks are best for migratory birdwatching?
range_prediction,Are there any migratory birds unique to Sri Lanka?
range_prediction,Which bird species use Sri Lanka as a breeding ground?
range_prediction,What impact do migratory birds have on Sri Lankaâ€™s ecosystems?
range_prediction,Where can I see migratory shorebirds resting in Sri Lanka?
range_prediction,Which birds migrate from East Asia to Sri Lanka?
range_prediction,Do any songbirds migrate to Sri Lanka?
range_prediction,Where can I see migratory owls in Sri Lanka?
range_prediction,Which migratory birds use Sri Lankaâ€™s lakes as feeding grounds?
range_prediction,How do birds from Russia find their way to Sri Lanka?
range_prediction,Where can I see Arctic terns migrating through Sri Lanka?
range_prediction,Do migratory birds pass through Sri Lanka at night?
range_prediction,Which birds migrate through Sri Lankaâ€™s mangrove forests?
range_prediction,How do migratory birds survive their journey to Sri Lanka?
range_prediction,Which wetlands in Sri Lanka provide the best view of migratory birds?
range_prediction,What are the biggest threats to migratory birds coming to Sri Lanka?
range_prediction,Which migratory birds use Sri Lankaâ€™s reservoirs for resting?
range_prediction,Can I see migratory hawks in Sri Lanka?
range_prediction,Where do migratory ibises come from before reaching Sri Lanka?
range_prediction,Do any migratory birds remain in Sri Lanka permanently?
range_prediction,Which species of gulls migrate to Sri Lanka?
range_prediction,What role does Sri Lanka play in the global bird migration cycle?
range_prediction,How do migratory birds find food while in Sri Lanka?
range_prediction,Where do the migratory waders in Sri Lanka originate from?
range_prediction,Can I see flamingos in Sri Lanka during migration?
range_prediction,Which birds migrate to Sri Lanka from the Middle East?
range_prediction,Do migratory birds return to Sri Lanka every year?
range_prediction,Which Sri Lankan mountain peaks are used by migrating birds?
range_prediction,Where do the migratory plovers in Sri Lanka come from?
range_prediction,How do conservation efforts in Sri Lanka support migratory birds?
range_prediction,What types of habitats do migratory birds prefer in Sri Lanka?
range_prediction,Which birds migrate from Sri Lanka to South Asia?
range_prediction,Where do the migratory stints in Sri Lanka originate from?
image_classification,Identify this bird from my photo,
image_classification,What bird is in this picture?,
image_classification,Can you recognize this bird from the image?,
image_classification,What species is this bird in my photo?,
image_classification,Tell me the name of the bird in this image.,
image_classification,Which bird is shown in this picture?,
image_classification,Find the bird species from my uploaded image.,
image_classification,Detect the bird in this photo.,
image_classification,What type of bird is in this picture?,
image_classification,Can you analyze this bird image?,
image_classification,Show me details about this bird from my image.,
image_classification,Identify the bird from this snapshot.,
image_classification,What bird do you see in this photo?,
image_classification,Help me recognize this bird.,
image_classification,Can you classify this bird?,
image_classification,Which category does this bird belong to?,
image_classification,Find the bird name from my image.,
image_classification,Can you tell me about this bird based on my picture?,
image_classification,Recognize the bird in this photograph.,
image_classification,Tell me which bird is in this image.,
image_classification,Detect the species of this bird.,
image_classification,What bird species do you think this is?,
image_classification,Identify the bird type in this picture.,
image_classification,What is the scientific name of this bird in my photo?,
image_classification,Which bird family does this bird belong to?,
image_classification,Can you determine the bird from my uploaded image?,
image_classification,Analyze the bird in this picture.,
image_classification,Provide information on the bird in my image.,
image_classification,Guess the bird name from this photo.,
image_classification,Is this a migratory bird in my picture?,
image_classification,Identify the bird’s habitat based on this image.,
image_classification,Can you match this bird with known species?,
image_classification,What bird is this based on its features?,
image_classification,Recognize this bird using AI.,
image_classification,Which bird is in my image based on its colors?,
image_classification,Identify this bird using image recognition.,
image_classification,What bird resembles the one in my picture?,
image_classification,Can you find the bird name using its markings?,
image_classification,Tell me if this bird is common in Sri Lanka.,
image_classification,Is this bird endangered or not?,
image_classification,Classify the bird in my uploaded photo.,
image_classification,What’s the closest match to this bird?,
image_classification,Provide details of this bird based on its shape.,
image_classification,Is this bird a predator or not?,
image_classification,Can you find a similar-looking bird to this one?,
image_classification,Identify the bird using its beak shape.,
image_classification,What kind of bird does this image represent?,
image_classification,Does this bird belong to the parrot family?,
image_classification,Show me birds that look similar to this one.,
image_classification,Find this bird’s name using AI bird recognition.,
image_classification,What is the common name of this bird?
image_classification,Can you detect multiple birds in this image?
image_classification,Does this bird belong to a tropical species?
image_classification,Is this bird commonly found in Sri Lanka?
image_classification,Analyze the wing pattern of this bird.
image_classification,Identify the bird using its eye color.
image_classification,What species of water bird is in this image?
image_classification,Can you confirm if this bird is a raptor?
image_classification,Detect the bird based on its size and feathers.
image_classification,Identify this bird by its beak length.
image_classification,Is this a migratory bird or a resident species?
image_classification,What bird category does this image belong to?
image_classification,Can AI recognize the bird in my uploaded picture?
image_classification,Is this bird found near wetlands?
image_classification,What bird species has similar markings to this one?
image_classification,Does this bird belong to a songbird family?
image_classification,Analyze the tail shape of this bird for identification.
image_classification,Is this a nocturnal bird in my picture?
image_classification,Which species has plumage like this bird?
image_classification,Does this bird belong to an endangered species?
image_classification,Can you provide the conservation status of this bird?
image_classification,What type of bird has this unique feather pattern?
image_classification,Identify this bird based on its foot structure.
image_classification,Compare this birdâ€™s features with known species.
image_classification,Does this bird look like any known Sri Lankan species?
image_classification,What kind of habitat does this bird belong to?
image_classification,Does this bird migrate during winter?
image_classification,Can you match this bird with any known database?
image_classification,Identify this bird based on its flight posture.
image_classification,Does this bird belong to a wading bird category?
image_classification,Which bird has a similar feather pattern to this one?
image_classification,Is this bird a native or an invasive species?
image_classification,Analyze this birdâ€™s body proportions for classification.
image_classification,Can AI identify this bird from a blurry image?
image_classification,Identify this bird using its crest shape.
image_classification,Which bird group does this species belong to?
image_classification,Does this bird prefer coastal or inland habitats?
image_classification,What is the best match for this bird using AI?
image_classification,Identify this bird by the pattern of its tail feathers.
image_classification,Can you tell if this bird is a fledgling or an adult?
image_classification,Which bird has similar wing markings to this one?
image_classification,What kind of diet does this bird follow based on its beak?
image_classification,Can you confirm if this bird is part of the pheasant family?
image_classification,Does this bird have a distinctive song?
image_classification,What bird species is known for this feather pattern?
image_classification,Identify this bird using image classification technology.
keyword_finder,Which bird has a bright red forehead and a black body?
keyword_finder,Find a bird with a white chest and long slender wings.
keyword_finder,What bird has a striped tail and a curved beak?
keyword_finder,Show me birds that have a yellow patch on their wings.
keyword_finder,Which birds are known for their high-pitched calls?
keyword_finder,Find a bird that has a long slender neck and a sharp beak.
keyword_finder,Which birds have a hooked beak and are skilled hunters?
keyword_finder,Show me birds with a glossy blue-green sheen in their feathers.
keyword_finder,Find a bird that is famous for its elaborate courtship rituals.
keyword_finder,Which bird has a white ring around its eyes and a long tail?
keyword_finder,Identify birds that have bright orange feet and dive for fish.
keyword_finder,Find a bird that has a bright yellow face and a spotted chest.
keyword_finder,Which birds build nests that look like woven baskets?
keyword_finder,Show me birds that prefer to live in rocky cliffs.
keyword_finder,Find a bird that is known for its hovering flight style.
keyword_finder,Which bird has a thin curved bill for extracting nectar?
keyword_finder,Identify birds that have a distinctive black and red mask on their face.
keyword_finder,Find a bird that has an extremely long beak used for probing sand.
keyword_finder,Which birds are famous for their rapid wing beats?
keyword_finder,Show me birds that have long spoon-shaped bills.
keyword_finder,Find a bird that can store food in a throat pouch.
keyword_finder,Which birds use their beaks to drill holes in tree trunks?
keyword_finder,Identify a bird that has a bright red crest and a loud call.
keyword_finder,Find birds that migrate across entire continents.
keyword_finder,Which bird has a short stubby tail and a plump body?
keyword_finder,Show me birds that use their wings to create sounds.
keyword_finder,Find a bird that glides long distances over the ocean.
keyword_finder,Which birds have a distinct V-shaped tail?
keyword_finder,Show me birds that dig tunnels for nesting.
keyword_finder,Find a bird with long wavy feathers on its head.
keyword_finder,Which birds have strong legs and cannot fly?
keyword_finder,Identify birds that use their beaks to sift mud for food.
keyword_finder,Find a bird that lays its eggs inside another birdâ€™s nest.
keyword_finder,Which birds are famous for their loud echoing calls?
keyword_finder,Show me birds that are known for their colorful fan-shaped tails.
keyword_finder,Find a bird that changes feather colors between seasons.
keyword_finder,Which birds use their feet to catch fish from the water?
keyword_finder,Identify a bird with red and black feathers that sings at dawn.
keyword_finder,Find a bird that has large throat pouches for storing food.
keyword_finder,Which birds have unusually shaped curved claws?
keyword_finder,Show me birds that are expert at catching insects in mid-air.
keyword_finder,Find a bird that moves its head rapidly when foraging.
keyword_finder,Which birds have white-tipped wings and black bodies?
keyword_finder,Identify a bird that is known for its synchronized flight displays.
keyword_finder,Find birds that prefer to live in wet marshy areas.
keyword_finder,Which birds have thick powerful beaks for cracking hard nuts?
keyword_finder,Show me birds that sing in a complex musical pattern.
keyword_finder,Find a bird that has feathered legs and a sharp beak.
keyword_finder,Which birds use their wings to make clapping sounds?
keyword_finder,Identify a bird that builds its nest on rocky ledges.
keyword_finder,Find a bird with a large colorful bill that eats fruit.
keyword_finder,Which birds use drumming as a communication signal?
keyword_finder,Show me birds that have large forward-facing eyes.
keyword_finder,Find a bird that has a long curling tail used for displays.
keyword_finder,Which birds store food inside tree bark for winter?
keyword_finder,Identify birds that migrate along major rivers.
keyword_finder,Find a bird with black and white stripes on its wings.
keyword_finder,Which birds have a red patch on their heads?
keyword_finder,Show me birds that use their beaks to dig for worms.
keyword_finder,Find a bird that glides effortlessly on air currents.
keyword_finder,Which birds nest in underground burrows?
keyword_finder,Identify a bird that produces a booming call to attract mates.
keyword_finder,Find birds that blend perfectly with tree bark.
keyword_finder,Which birds have webbed feet but prefer dry habitats?
keyword_finder,Show me birds that gather in massive flocks before migration.
keyword_finder,Find a bird with bright pink feathers and a long beak.
keyword_finder,Which birds can balance on reeds while feeding?
keyword_finder,Identify birds that have a white stripe on their tails.
keyword_finder,Find a bird that has a dark mask-like marking on its face.
keyword_finder,Which birds have unusually large nostrils for detecting prey?
keyword_finder,Show me birds that are known for their synchronized group dancing.
keyword_finder,Find a bird that changes its beak color during breeding season.
keyword_finder,Which birds are known for their elaborate spiraling flight patterns?
keyword_finder,Identify birds that use their tails to support their perching.
keyword_finder,Find a bird that nests in cliffs and has a hooked beak.,
keyword_finder,What bird has a white body and a bright yellow beak?,
keyword_finder,Identify birds that hunt using sharp talons.,
keyword_finder,Which bird has a distinct stripe across its head?,
keyword_finder,Show me birds that have a specialized beak for nectar feeding.,
keyword_finder,Find a bird that can swim underwater to catch fish.,
keyword_finder,Which birds have vibrant red plumage?,
keyword_finder,What bird has an impressive courtship dance?,
keyword_finder,Show me birds that are commonly seen near waterfalls.,
keyword_finder,Find a bird that perches vertically on tree trunks.,
keyword_finder,Which bird has a black mask-like pattern on its face?,
keyword_finder,Identify birds that communicate with wing signals.,
keyword_finder,Find a bird that lays eggs inside another bird’s nest.,
keyword_finder,Which birds have backward-facing talons for catching prey?,
keyword_finder,Show me birds that form lifelong mating pairs.,
keyword_finder,Find a bird that has a specialized bill for filtering food from water.,
keyword_finder,Which bird is famous for its synchronized flying displays?,
keyword_finder,Show me birds with feathered legs and sharp claws.,
keyword_finder,Find birds that live in snow-covered regions.,
keyword_finder,What bird has a distinctive curved tail?,
keyword_finder,Identify birds that are known for drumming on trees.,
keyword_finder,Which bird has a long neck and is known for its loud honking call?,
keyword_finder,Find birds that primarily hunt over open fields.,
keyword_finder,Show me birds that use mimicry to attract mates.,
keyword_finder,Find a bird that has a feathered crest that can be raised and lowered.,
keyword_finder,Which birds build large communal nests?,
keyword_finder,Show me birds that have a striped pattern on their wings.,
keyword_finder,Find a bird that has iridescent blue wings and a bright yellow chest.,
keyword_finder,Which bird is famous for its zigzag flight pattern?,
keyword_finder,Identify birds that hunt in complete darkness using sound alone.,
keyword_finder,Find a bird that uses its tail as a balance while climbing trees.,
greet,hey,
greet,hello,
greet,hi,
greet,hello there,
greet,good morning,
greet,good evening,
greet,good afternoon,
greet,hey there,
greet,hey dude,
greet,hey buddy,
greet,hi friend,
greet,what's up?,
greet,yo,
greet,howdy,
greet,greetings,
greet,morning,
greet,evening,
greet,sup,
greet,what's new?,
greet,how's it going?,
greet,hey pal,
greet,hi there,
greet,nice to meet you,
greet,pleasure to meet you,
greet,hey mate,
greet,hola,
greet,bonjour,
greet,aloha,
greet,namaste,
greet,salam,
greet,wassup,
greet,yo yo,
greet,hello friend,
greet,hey  how are you?,
greet,good to see you,
greet,what's good?,
greet,what's going on?,
greet,how are you today?,
greet,peace,
greet,hey team,
greet,hi folks,
greet,hi everyone,
greet,hey chatbot,
greet,"chatbot, hello", 
greet,"greetings, bot", 
greet,hey AI,
greet,how’s life?,
greet,how’s your day?,
greet,long time no see,
greet,happy to be here,
greet,yo bro,
greet,hey sis,
greet,Hiya!
greet,Good day!
greet,Hello my friend!
greet,Hey there buddy!
greet,Hi stranger!
greet,Howdy partner!
greet,Hello there friend!
greet,Hey long time no chat!
greet,Ahoy!
greet,Hey friend howâ€™s it going?
greet,Hiya pal!
greet,Hey my dude!
greet,Hi bot how are you?
greet,Hey how have you been?
greet,Yo my friend!
greet,Heya!
greet,Top of the morning to you!
greet,Hey what's cracking?
greet,Hello world!
greet,Greetings traveler!
greet,Hi how's everything?
greet,Hola amigo!
greet,Bonjour mon ami!
greet,Namaste friend!
greet,Salutations!
greet,Shalom!
greet,Hi mate how's life?
greet,Hey it's been a while!
greet,Hello chatbot what's up?
greet,Hey AI are you online?
greet,Hi assistant how are you today?
greet,Greetings fellow human!
greet,Hello friend what's new?
greet,Hi AI hope you're doing well!
greet,Hey bot how's life in the digital world?
greet,Hey how are things going today?
greet,Hi good to be here!
greet,Yo yo what's the latest?
greet,Hey champ!
greet,Hey buddy how's your day?
greet,Greetings oh wise AI!
greet,Hey cool bot!
greet,Hello universe!
greet,Hey digital friend!
greet,Hey what's the vibe?
greet,Hey genius AI!
greet,Hi bot whatâ€™s going on?
greet,Hello AI nice to meet you!
greet,Hey AI let's chat!
greet,Hello digital assistant!
greet,Hey any good news today?
goodbye,cu,
goodbye,good by,
goodbye,cee you later,
goodbye,good night,
goodbye,bye,
goodbye,goodbye,
goodbye,have a nice day,
goodbye,see you around,
goodbye,bye bye,
goodbye,see you later,
goodbye,see ya,
goodbye,take care,
goodbye,catch you later,
goodbye,farewell,
goodbye,talk to you soon,
goodbye,until next time,
goodbye,peace out,
goodbye,later,
goodbye,I'm out,
goodbye,see you next time,
goodbye,have a good one,
goodbye,take it easy,
goodbye,so long,
goodbye,gotta go,
goodbye,have a great day,
goodbye,have a wonderful day,
goodbye,stay safe,
goodbye,see you soon,
goodbye,cheers,
goodbye,adios,
goodbye,ciao,
goodbye,au revoir,
goodbye,sayonara,
goodbye,hasta la vista,
goodbye,later gator,
goodbye,bye for now,
goodbye,see you tomorrow,
goodbye,talk later,
goodbye,have a nice evening,
goodbye,keep in touch,
goodbye,see you in a bit,
goodbye,all the best,
goodbye,"farewell, friend", 
goodbye,I'm off,
goodbye,I'm leaving,
goodbye,time to go,
goodbye,talk soon,
goodbye,signing off,
goodbye,hope to chat again,
goodbye,see you again,
goodbye,Later alligator!
goodbye,See ya!
goodbye,Bye-bye!
goodbye,Take it easy!
goodbye,Have a great day!
goodbye,See you around!
goodbye,Until we meet again!
goodbye,Peace out!
goodbye,So long!
goodbye,Gotta go!
goodbye,Talk to you later!
goodbye,See you tomorrow!
goodbye,Stay safe!
goodbye,Iâ€™m off!
goodbye,Keep in touch!
goodbye,Later!
goodbye,It was nice talking to you!
goodbye,Adios!
goodbye,Ciao!
goodbye,Sayonara!
goodbye,Bye take care!
goodbye,Have a good one!
goodbye,See you next time!
goodbye,Until later!
goodbye,Hope to see you again!
goodbye,So long my friend!
goodbye,Have a nice day!
goodbye,Take care of yourself!
goodbye,Gotta run!
goodbye,Enjoy your day!
goodbye,Stay well!
goodbye,Until we chat again!
goodbye,Catch you on the flip side!
goodbye,Itâ€™s been real!
goodbye,Be well!
goodbye,Safe travels!
goodbye,Goodbye my friend!
goodbye,Iâ€™ll be seeing you!
goodbye,Donâ€™t be a stranger!
goodbye,Wish you the best!
goodbye,See you when I see you!
goodbye,Have a wonderful time!
goodbye,Goodbye!
goodbye,See you later!
goodbye,Take care!
goodbye,Bye for now!
goodbye,Catch you later!
goodbye,Farewell!
goodbye,See you soon!
goodbye,Until next time!
affirm,yes,
affirm,y,
affirm,indeed,
affirm,of course,
affirm,that sounds good,
affirm,correct,
affirm,absolutely,
affirm,sure,
affirm,definitely,
affirm,exactly,
affirm,that's right,
affirm,affirmative,
affirm,yeah,
affirm,yup,
affirm,sure thing,
affirm,you bet,
affirm,no doubt,
affirm,that's true,
affirm,agreed,
affirm,sounds great,
affirm,sounds perfect,
affirm,"yes, 100% sure",
affirm,okay,
affirm,ok,
affirm,right,
affirm,roger that,
affirm,I agree,
affirm,certainly,
affirm,for sure,
affirm,totally,
affirm,uh-huh,
affirm,I think so,
affirm,why not,
affirm,makes sense,
affirm,I'm in,
affirm,I approve,
affirm,that's correct,
affirm,naturally,
affirm,you got it,
affirm,precisely,
affirm,couldn't agree more,
affirm,"sure,  why not",
affirm,go ahead,
affirm,"yes, please", 
affirm,undoubtedly,
affirm,I second that,
affirm,quite so,
affirm,without a doubt,
affirm,exactly right,
affirm,Yes!
affirm,Absolutely!
affirm,Sure!
affirm,Of course!
affirm,Definitely!
affirm,Indeed!
affirm,That's right!
affirm,Exactly!
affirm,Correct!
affirm,Sure thing!
affirm,Yep!
affirm,Yup!
affirm,Uh-huh!
affirm,You got it!
affirm,Thatâ€™s true!
affirm,I agree!
affirm,Right on!
affirm,You bet!
affirm,Affirmative!
affirm,Sounds good!
affirm,Totally!
affirm,No doubt!
affirm,Fine!
affirm,Okay!
affirm,Alright!
affirm,That's correct!
affirm,Youâ€™re spot on!
affirm,100%!
affirm,For sure!
affirm,Yes please!
affirm,I think so!
affirm,I believe so!
affirm,That's exactly it!
affirm,Couldn't agree more!
affirm,Without a doubt!
affirm,Yes thatâ€™s what I meant!
affirm,I confirm!
affirm,Right!
affirm,True!
affirm,Absolutely right!
affirm,That works!
affirm,Go ahead!
affirm,Yes thatâ€™s fine!
affirm,Yes I accept!
affirm,Yes I approve!
affirm,Yes youâ€™re correct!
affirm,Thatâ€™s exactly what I meant!
affirm,Yes go for it!
affirm,Thatâ€™s the one!
affirm,Yes that makes sense!
deny,no,
deny,n,
deny,never,
deny,I don't think so,
deny,don't like that,
deny,no way,
deny,not really,
deny,absolutely not,
deny,nope,
deny,nah,
deny,not at all,
deny,not happening,
deny,no chance,
deny,I disagree,
deny,I don't agree,
deny,not now,
deny,not interested,
deny,count me out,
deny,negative,
deny,no thanks,
deny,not for me,
deny,I'd rather not,
deny,doesn't sound good,
deny,I wouldn't say so,
deny,out of the question,
deny,forget it,
deny,"no, never", 
deny,not this time,
deny,I refuse,
deny,I decline,
deny,no sir,
deny,no ma'am,
deny,that's incorrect,
deny,"no,  thank you",
deny,unlikely,
deny,"nope,  not happening",
deny,I'd prefer not to,
deny,absolutely not,
deny,I can't,
deny,not a fan,
deny,"no,  I don't",
deny,I reject that,
deny,I'm not sure about that,
deny,I wouldn't bet on it,
deny,"no,  not really",
deny,not my thing,
deny,I won't,
deny,I don't approve,
deny,not feeling it,
deny,doesn't work for me,
mood_great,perfect,
